probas,RMSE_relative_collect,RMSE_relative_gaussian,RMSE_relative_poisson,RMSE_relative_bernoulli
0.05,0.990071879486862,0.994240543784465,0.99369635409362,0.990684843208811
0.1,0.980711920814623,0.988533310017268,0.987157161717768,0.981254050650863
0.15,0.97382862366507,0.982724857964234,0.980342919693197,0.97240541076823
0.2,0.964307179009491,0.977308361929642,0.97385904229609,0.96301450443019
0.25,0.958446064455177,0.97205793047722,0.967622891172743,0.953912987681547
0.3,0.914242681317852,0.942827556947693,0.947249262443102,0.925468720888092
0.35,0.902360652784732,0.935294106544981,0.939094714601965,0.912885793418504
0.4,0.890268978182922,0.927064770150314,0.931824801412677,0.902252065290445
0.45,0.877462672478456,0.914961624937177,0.921603542991679,0.888939382527005
0.5,0.861883493206615,0.908230549483713,0.916004076362197,0.877718344088065
0.55,0.79441247308757,0.826388968658448,0.875736753772723,0.836966231570977
0.6,0.776232169033499,0.806791602673151,0.864482731723043,0.825614821088985
0.65,0.759484699674502,0.794549634965268,0.85395507356407,0.814672614239781
0.7,0.740074517355539,0.776470975860509,0.844600173137895,0.80051578201398
0.75,0.720340182580163,0.761260899941996,0.834441191380429,0.785067984460412
0.8,0.633571123970467,0.654111127710525,0.734844355654888,0.736729743899801
0.85,0.612272758351054,0.628961076298844,0.721456585632339,0.725051151763773
0.9,0.591527272108,0.609677839731367,0.704948848884953,0.709114685456739
0.95,0.574378074603353,0.583522692830502,0.692144717233276,0.696571571320691
1,0.547901437618562,0.568455436075787,0.676681598138004,0.683934656287403
