RMSE_relative_collect1,RMSE_relative_gaussian,RMSE_relative_collect2,RMSE_relative_poisson,RMSE_relative_collect3,RMSE_relative_bernoulli
0.93870152102548,0.934383677676975,0.929325517553637,0.916269812189187,0.931543825810538,0.892611142518024
0.938365722191643,0.933947831508127,0.929054184416514,0.915522402447784,0.931019558034327,0.892298089162618
0.939187743380934,0.934597849416806,0.929197403819404,0.916118650104802,0.931110808787045,0.892576906513067
0.938885141165118,0.934219419770258,0.928838896726275,0.916432678425906,0.931077209985539,0.892295343074336
0.93883244340882,0.934391676808205,0.929409541001791,0.916071626708289,0.930974685301798,0.892453649147734
0.938573261340676,0.934251948292476,0.928460899611688,0.91573268171129,0.930995912901725,0.892592521011766
0.938779532177056,0.934309078573263,0.929126380132569,0.915727943033512,0.929952524791407,0.892458223417423
0.939374825737707,0.934226473066842,0.929672886015158,0.916117767637698,0.930736019111895,0.892513077842149
0.939502725389511,0.9347434135737,0.928564067675338,0.915992784186222,0.931867635406811,0.892460663579125
0.938724468950833,0.934265233454623,0.928330381504772,0.915914049949794,0.930785320774762,0.892282423563617
