Sparsity_M_collect1,Sparsity_M_gaussian,Sparsity_M_collect2,Sparsity_M_poisson,Sparsity_M_collect3,Sparsity_M_bernoulli
0.160332024691358,0.100038703703704,0.163170530864198,0.0922301851851852,0.160927901234568,0.0985956666666667
0.160522530864198,0.100043518518519,0.163263,0.0923575925925926,0.16070075308642,0.0987593703703704
0.160353950617284,0.0999608148148148,0.162977160493827,0.0916884074074074,0.161031839506173,0.098695037037037
0.160347271604938,0.0999400740740741,0.163117604938272,0.0919901481481482,0.160841654320988,0.0987768148148148
0.160459296296296,0.0999535555555556,0.162907802469136,0.0914313333333333,0.160985222222222,0.0986051481481482
0.160303358024691,0.100028407407407,0.163211444444444,0.0922825185185185,0.160857641975309,0.0986251851851852
0.160544901234568,0.100025888888889,0.163055493827161,0.0919021851851852,0.160770827160494,0.0987718888888889
0.160430012345679,0.099973,0.163015074074074,0.0917008888888889,0.16074137037037,0.0986613333333333
0.16032,0.0999928888888889,0.163078691358025,0.0920785185185185,0.160965185185185,0.0987051851851852
0.16053650617284,0.100052074074074,0.163040506172839,0.0918947777777778,0.160704296296296,0.0986767407407407
