probas,RMSE_relative_collect,RMSE_relative_gaussian,RMSE_relative_poisson,RMSE_relative_bernoulli
0.05,0.992744316709931,0.994349924143641,0.992894669587443,0.989868020850184
0.1,0.985494861808365,0.988900703128422,0.986098415369285,0.979626540925857
0.15,0.978828334252185,0.983667165124375,0.97935828340927,0.969433808981961
0.2,0.972079664286287,0.97865416364777,0.972472558841678,0.959517473841318
0.25,0.965583922916402,0.972974338070976,0.966143110054321,0.94852430784918
0.3,0.934034885337882,0.956632338790703,0.944616832973784,0.920116163427663
0.35,0.92260535035319,0.950621636063587,0.936129506191843,0.907565466650882
0.4,0.914076829773348,0.944607144101519,0.928892608097635,0.894366958967651
0.45,0.904449687660682,0.937539208708902,0.91917180357709,0.880559681259171
0.5,0.895013695239558,0.929468918657031,0.911336869738582,0.869182596004574
0.55,0.819998666241218,0.857211485736948,0.883400697078533,0.827415132469464
0.6,0.805060083574874,0.847407913020837,0.869672576479945,0.81486961514556
0.65,0.791560581506984,0.83494896375109,0.864089045478852,0.799369208069661
0.7,0.775503811472188,0.820295545361404,0.856527370235279,0.785826271008303
0.75,0.758841928329429,0.809045086143567,0.846392123036772,0.771623729961382
0.8,0.667561879044785,0.68986201708981,0.76138480884104,0.728954870560412
0.85,0.64388190076236,0.673302486969302,0.75055790686939,0.71319514290014
0.9,0.63206325740491,0.652640772100033,0.736976405260235,0.700279693750116
0.95,0.611596982576851,0.635310621245591,0.727723199322116,0.685374098272811
1,0.592439027036459,0.615243386471922,0.712324733998705,0.673017274573461
