Objective_9000,RankIn_9000,RankOut_9000,Times_9000,Lambdas_9000
996602.208317586,75,16,10.616920107,314.848007938429
143941.161695473,75,16,19.212136423,70.8408919857988
28451.2179823737,16,14,25.861713929,15.939290896457
6225.23189395659,16,13,32.452038959,3.58643065135512
1392.6267139308,14,13,39.028644521,0.807037096207198
313.372394462693,13,13,45.536583988,0.181673546298915
70.9494499975631,13,13,52.067340195,0.0409667475695508
16.425110197631,13,13,58.636762227,0.00930771785544394
4.15819723089058,13,13,65.191872144,0.0021844361697699
1.39819784982566,13,13,71.729612902,0.000581697790493237
0.777201190284388,13,13,78.264765862,0.000221081655155988
0.637477092565313,13,13,84.769861887,0.000139943024705107
0.606039081352177,13,13,91.315539296,0.000121686832853659
0.598965408416007,13,13,97.848822391,0.000117579189687083
0.597373705604263,13,13,104.376589281,0.000116654969974604
0.597015444829684,13,13,110.918087822,0.000116447020539296
0.596934708128678,13,13,117.487295436,0.000116400231916352
0.596916414304057,13,13,124.05891109,0.000116389704476189
0.59691217000982,13,13,130.593886137,0.000116387335802153
0.596911086879903,13,13,137.125597615,0.000116386802850494
0.596910714908512,13,13,143.624179639,0.000116386682936371
0.596910502970752,13,13,150.187065654,0.000116386655955693
0.596910326937971,13,13,156.753686917,0.000116386649885041
0.596910159006877,13,13,163.299192153,0.000116386648519144
0.596909992796107,13,13,169.916997556,0.000116386648211817
0.596909826995387,13,13,176.494457168,0.000116386648142669
0.596909661184476,13,13,183.009662585,0.00011638664812711
0.596909495394325,13,13,189.536476471,0.00011638664812361
0.596909329506164,13,13,196.056820012,0.000116386648122822
0.596909163619239,13,13,202.642247983,0.000116386648122645
0.596908997629978,13,13,209.224565658,0.000116386648122605
0.596908831640766,13,13,215.816546206,0.000116386648122596
0.596908665548924,13,13,222.333203008,0.000116386648122594
0.59690849945718,13,13,228.85552773,0.000116386648122594
0.596908333262973,13,13,235.439098821,0.000116386648122594
0.596908167068668,13,13,242.016033729,0.000116386648122594
0.596908000771944,13,13,248.634808353,0.000116386648122594
0.596907834475103,13,13,255.162690247,0.000116386648122594
0.596907668075916,13,13,261.740317,0.000116386648122594
0.596907501676713,13,13,268.285978833,0.000116386648122594
0.596907335174946,13,13,274.84732833,0.000116386648122594
0.596907168673272,13,13,281.410543275,0.000116386648122594
0.596907002069067,13,13,287.954853381,0.000116386648122594
0.596906835464927,13,13,294.5284059,0.000116386648122594
0.596906668758338,13,13,301.105014115,0.000116386648122594
0.596906502051633,13,13,307.60486423,0.000116386648122594
0.596906335242651,13,13,314.221103034,0.000116386648122594
0.596906168433579,13,13,320.793109757,0.000116386648122594
0.596906001522114,13,13,327.317904367,0.000116386648122594
0.596905834610523,13,13,333.86863846,0.000116386648122594
0.59690566759666,13,13,340.450183516,0.000116386648122594
0.596905500582895,13,13,347.031450973,0.000116386648122594
0.596905333466588,13,13,353.593486235,0.000116386648122594
0.596905166350194,13,13,360.128589536,0.000116386648122594
0.596904999131527,13,13,366.749859872,0.000116386648122594
0.596904831912817,13,13,373.407592502,0.000116386648122594
0.596904664591881,13,13,379.937561338,0.000116386648122594
0.596904497270778,13,13,386.483476177,0.000116386648122594
0.596904329847423,13,13,393.169083066,0.000116386648122594
0.596904162423912,13,13,399.8223185,0.000116386648122594
0.596903994898187,13,13,406.63868398,0.000116386648122594
0.596903827372521,13,13,413.219656194,0.000116386648122594
0.596903659744362,13,13,420.011122685,0.000116386648122594
0.596903492116289,13,13,427.179692425,0.000116386648122594
0.596903324385935,13,13,434.210423685,0.000116386648122594
0.596903156655484,13,13,441.493357833,0.000116386648122594
0.596902988822793,13,13,449.496477869,0.000116386648122594
0.59690282099008,13,13,456.619156286,0.000116386648122594
0.596902653054992,13,13,463.763252979,0.000116386648122594
0.596902485119936,13,13,471.314587908,0.000116386648122594
0.596902317082721,13,13,478.260811321,0.000116386648122594
0.596902149045374,13,13,485.035553223,0.000116386648122594
0.596901980905737,13,13,491.843808278,0.000116386648122594
0.596901812766259,13,13,498.672111721,0.000116386648122594
0.596901644524332,13,13,505.516317605,0.000116386648122594
0.596901476282483,13,13,512.157066769,0.000116386648122594
0.596901307938427,13,13,519.20822047,0.000116386648122594
0.596901139594245,13,13,526.047887081,0.000116386648122594
0.596900971147908,13,13,533.834759844,0.000116386648122594
0.596900802701541,13,13,540.451626216,0.000116386648122594
