Sparsity_M_collect10909909,Sparsity_M_gaussian090909,Sparsity_M_collect2,Sparsity_M_poisson,Sparsity_M_collect3,Sparsity_M_bernoulli
0.422421777777778,0.479919,0.444514666666667,0.274589666666667,0.462514666666667,0.363017333333333
0.428031222222222,0.479865333333333,0.443502222222222,0.270312666666667,0.464583777777778,0.359408
0.428151111111111,0.479959333333333,0.445108777777778,0.273851666666667,0.464507555555556,0.36259
0.427332111111111,0.479898666666667,0.440978666666667,0.271741333333333,0.469782333333333,0.366842666666667
0.428150555555556,0.479959,0.444174,0.271201,0.468766222222222,0.367726333333333
0.430358444444444,0.479856333333333,0.444609555555556,0.271345666666667,0.462202777777778,0.364358666666667
0.424310666666667,0.479918333333333,0.441797888888889,0.270941666666667,0.466455,0.3673
0.427483666666667,0.479794333333333,0.444605777777778,0.27542,0.463884222222222,0.365156
0.427706,0.480215333333333,0.444780555555556,0.274111666666667,0.464645444444444,0.363266666666667
0.429255222222222,0.479753666666667,0.443572555555556,0.273793,0.466419333333333,0.366989333333333
