Objective_3000,RankIn_3000,RankOut_3000,Times_3000,Lambdas_3000
90077.0362213119,25,6,0.644608591,133.087495109189
15877.3097383404,25,6,1.223385673,33.2719603217673
3609.75490854707,6,5,1.74569734,8.31807662491189
880.945573912136,6,5,2.264621907,2.07960570069803
219.062247513704,5,5,2.759756657,0.519987969644565
54.8650337413369,6,5,3.25604578,0.130083536881199
13.8953935418925,6,5,3.762017699,0.0326074286903573
3.65799433627417,6,5,4.268265767,0.00823840164264692
1.09896232010665,6,5,4.775531321,0.00214614488071932
0.459225387386067,6,5,5.280932454,0.000623080690237424
0.299292752995012,6,5,5.785959834,0.000242314642616949
0.25930975786216,6,5,6.290136576,0.000147123130711831
0.249314027843359,6,5,6.799398856,0.000123325252735551
0.246815091388047,6,5,7.305809811,0.000117375783241481
0.246190348468702,6,5,7.812261052,0.000115888415867964
0.246034152777543,6,5,8.320913163,0.000115516574024584
0.245995093598411,6,5,8.82691092,0.000115423613563739
0.245985318478229,6,5,9.33498468,0.000115400373448528
0.245982864346549,6,5,9.840392518,0.000115394563419725
0.24598224045987,6,5,10.35398198,0.000115393110912525
0.245982074124976,6,5,10.863321242,0.000115392747785725
0.245982022180087,6,5,0,0.000115392657004024
