Objective_9000,RankIn_9000,RankOut_9000,Times_9000,Lambdas_9000
1347262.74417464,75,16,8.373849359,358.083493016593
214200.64822272,75,16,14.949938474,96.68254311448
46905.9656445167,16,16,19.445322614,26.1042866409096
11867.903806999,16,16,23.893576024,7.04815739304559
3146.10290400733,16,15,28.264402714,1.90300249612231
845.430715761564,16,15,32.64465181,0.513810673953024
227.937047077498,15,15,37.012097554,0.138728881967316
61.4832909475974,15,15,41.42249169,0.0374567981311754
16.5604286139107,15,15,45.845091879,0.0101133354954174
4.43269361062577,15,15,50.221857348,0.00273060058376269
1.15831040772567,15,15,54.667150269,0.000737262157615926
0.27423475848985,15,15,59.011027616,0.0001990607825563
0.0355349395349953,15,15,63.470700608,5.3746411290201e-05
-0.028913954214471,15,15,67.871724915,1.45115310483543e-05
-0.0463151446460189,15,15,72.222445863,3.91811338305566e-06
-0.0510134602931646,15,15,76.896109615,1.05789061342503e-06
-0.0522820005822764,15,15,81.456903224,2.85630465624757e-07
-0.0526245017125007,15,15,86.051329436,7.71202257186845e-08
-0.0527169723133358,15,15,90.440960022,2.08224609440448e-08
-0.0527419346849316,15,15,94.834631488,5.6220644548921e-09
-0.0527486698340608,15,15,99.170668618,1.51795740282087e-09
-0.0527504836351057,15,15,103.560131696,4.09848498761634e-10
-0.0527509686684422,15,15,108.045073995,1.10659094665641e-10
-0.0527510949356178,15,15,112.689381185,2.98779555597231e-11
-0.052751124331997,15,15,0,8.06704800112525e-12
