RMSE_relative_collect1,RMSE_relative_gaussian,RMSE_relative_collect2,RMSE_relative_poisson,RMSE_relative_collect3,RMSE_relative_bernoulli
0.845504607208147,0.90542729707205,0.838631804458003,0.89099562870822,0.841356869142267,0.855496943400718
0.841452632751872,0.902555519481934,0.839329862659509,0.889741798019704,0.840863140216794,0.850828883174325
0.84834034072633,0.905596839264289,0.839234967441675,0.892133921880696,0.843985762878619,0.851717798917552
0.848981674832356,0.907002652361087,0.838961896624014,0.890976400875525,0.841709621276811,0.85260810540225
0.839653867242251,0.900563169280206,0.841526308781886,0.891223205022661,0.839252727863063,0.849648021716125
0.850028220113527,0.906133141993334,0.838595968578732,0.888441229786158,0.841147344207702,0.853225004888659
0.846974073005271,0.906683871345908,0.837384078237038,0.887413791930565,0.837588264856343,0.852780828125813
0.843103135934861,0.904667676591603,0.838084401218571,0.891417064416472,0.835683851811806,0.852105562584321
0.844393458264153,0.90445856008601,0.839070815112599,0.892243770296164,0.841688209466987,0.850773029875362
0.840453169409527,0.903137121702207,0.840773825565702,0.892141723349043,0.843469075071854,0.852853579255803
