Objective_9000,RankIn_9000,RankOut_9000,Times_9000,Lambdas_9000
154202.98185494,75,16,2.66236296,121.395745564069
24445.6449355153,75,16,4.714073868,32.7768513022986
5344.33032803071,16,16,5.983881553,8.84974985162062
1354.95139010551,16,15,7.233648656,2.38943245993757
359.559834692037,16,15,8.481540158,0.645146764183143
96.619070740496,15,15,9.733433786,0.174189626329449
26.0489114963894,15,15,10.971304423,0.0470311991089511
7.02594666188065,15,15,12.331090143,0.0126984237594168
1.89200482539403,15,15,13.796782004,0.00342857441504254
0.506005796952541,15,15,15.132805703,0.000925715092061485
0.131798159982877,15,15,16.487971954,0.000249943074856601
0.030762997517522,15,15,17.793993718,6.74846302112823e-05
0.00348357375285987,15,15,19.344102997,1.82208501570462e-05
-0.00388186388672309,15,15,20.787690334,4.91962954240248e-06
-0.00587053067746094,15,15,22.234572253,1.32829997644867e-06
-0.0064074699432851,15,15,23.62290833,3.58640993641141e-07
-0.00655244287766051,15,15,25.107279156,9.6833068283108e-08
-0.00659158492537066,15,15,26.449094525,2.61449284364392e-08
-0.00660215263893151,15,15,27.739187485,7.05913067783858e-09
-0.00660500528395843,15,15,29.056766315,1.90596528301642e-09
-0.00660577486035393,15,15,30.350403624,5.14610626414432e-10
-0.00660598200847637,15,15,31.653086773,1.38944869131897e-10
-0.00660603730045351,15,15,0,3.75151146656121e-11
