Objective_9000,RankIn_9000,RankOut_9000,Times_9000,Lambdas_9000
926788.03475313,75,16,13.807134694,294.656112398427
122906.162219277,75,12,25.356606609,52.7434732070783
21059.8701699034,16,10,34.711750738,9.44111079182681
3741.30251792252,12,10,43.823348722,1.68998791949681
669.017551039305,10,10,53.16181526,0.302536925349735
119.970632436534,10,10,62.136315331,0.0541831973974091
21.7198354002598,10,10,71.048602147,0.00972788009394277
4.13386613821675,10,10,79.913776619,0.0017703782966223
0.986007882836347,10,10,88.849527209,0.00034598547490194
0.422542342606428,10,10,97.806045938,9.1019159813995e-05
0.321682063474234,10,10,106.688785851,4.53801894132528e-05
0.303628075515188,10,10,115.625136572,3.72108137115199e-05
0.30039640892839,10,10,124.679180435,3.57484954609098e-05
0.299817937157411,10,10,134.446103033,3.54867404940505e-05
0.299714387133014,10,10,144.292917076,3.54398863549827e-05
0.299695848079798,10,10,154.729887161,3.54314994640896e-05
0.299692525983873,10,10,166.273889347,3.54299982106197e-05
0.299691927723072,10,10,175.755057421,3.54297294862486e-05
0.299691817025886,10,10,185.191840464,3.54296813845862e-05
0.299691793603045,10,10,0,3.54296727743886e-05
