probas,RMSE_relative_collect,RMSE_relative_gaussian,RMSE_relative_poisson,RMSE_relative_bernoulli
0.05,0.98622238141142,0.990176738115173,0.992548587179285,0.990465718156498
0.1,0.972261337095815,0.981357749430772,0.98438579546729,0.980379254235139
0.15,0.957752553295918,0.970783183017963,0.97878921785311,0.971258771314834
0.2,0.944443550484276,0.963994529249257,0.972103010896722,0.961175454151026
0.25,0.932381748670298,0.955425637573397,0.965706136172312,0.950837057794259
0.3,0.891980874175153,0.911488807905113,0.936166782512969,0.927199851285302
0.35,0.873932108949428,0.904104885262913,0.924445713192471,0.915245956863585
0.4,0.85478734816501,0.888727956587037,0.916950911355378,0.907332068988459
0.45,0.838920088589034,0.868761373974753,0.907653822814175,0.893774674524062
0.5,0.821782966510995,0.85900342230286,0.898059717452508,0.885511191421708
0.55,0.758377494611013,0.779441600875603,0.836682546908208,0.841990049812657
0.6,0.733699100230592,0.761371975882667,0.774222798780168,0.828613434965302
0.65,0.716468289157879,0.744192743160206,0.809457220459485,0.817117835277461
0.7,0.695139063664958,0.724736067728624,0.790837956100206,0.804208662071821
0.75,0.675537000303493,0.70441576823905,0.780914454497852,0.791163968667348
0.8,0.584186593766004,0.608283870141078,0.69954364801251,0.699955585320398
0.85,0.557272412075715,0.586298156118972,0.683026528988428,0.683197470755145
0.9,0.52889451453646,0.550171460682536,0.665955192361773,0.665173185595829
0.95,0.510641565986333,0.532642376015651,0.650568302519131,0.652895088773782
1,0.482854944028251,0.517077900885687,0.632017641724305,0.636027240204253
