Sparsity_M_collect1,Sparsity_M_gaussian,Sparsity_M_collect2,Sparsity_M_poisson,Sparsity_M_collect3,Sparsity_M_bernoulli
0.541202086419753,0.479996592592593,0.543931296296296,0.438917962962963,0.542076814814815,0.473900407407407
0.540728975308642,0.480002074074074,0.544344913580247,0.440934592592593,0.542100283950617,0.474053888888889
0.541333308641975,0.479983185185185,0.544686716049383,0.441771592592593,0.541078518518519,0.473317111111111
0.541919271604938,0.479978259259259,0.544557395061728,0.441491222222222,0.542162185185185,0.474168777777778
0.541352024691358,0.479824740740741,0.544227530864198,0.440371962962963,0.543002716049383,0.473741296296296
0.540976209876543,0.479977444444444,0.544712259259259,0.441962703703704,0.542541,0.473650296296296
0.541526666666667,0.480036296296296,0.544499802469136,0.441366407407407,0.541928135802469,0.473435296296296
0.54204787654321,0.480066962962963,0.544578543209877,0.441864518518519,0.542101802469136,0.473902
0.541458567901235,0.479984222222222,0.544366493827161,0.441234111111111,0.541828395061728,0.47339362962963
0.541585716049383,0.479828925925926,0.544180580246914,0.440919111111111,0.542261086419753,0.474073481481481
