Objective_9000,RankIn_9000,RankOut_9000,Times_9000,Lambdas_9000
3389058.06357633,75,18,41.138242641,511.34856425548
553102.68547894,75,18,75.504664047,127.83717267117
92458.0434603532,18,16,105.347154588,31.9593247750921
20062.9367856518,18,17,130.543711874,7.98986280107267
4726.99021476123,18,18,154.39096688,1.99749730756782
1163.62898474678,18,18,178.578069129,0.499405934191608
289.292815200248,18,18,203.279461994,0.124883090847555
72.3913774854793,18,18,227.011854375,0.0312523800115416
18.3015043727764,18,18,250.946868353,0.0078447023025383
4.80441978126766,18,18,274.363240525,0.00199278287528747
1.43388554539251,18,18,297.770491464,0.000529803018474763
0.591981586002697,18,18,321.126428682,0.000164058054271586
0.381635723031581,18,18,344.456562292,7.26218132207923e-05
0.329083698409287,18,18,367.770195005,4.97627529580937e-05
0.315960049129304,18,18,391.1662656,4.40479878924191e-05
0.312687173734088,18,18,414.612278878,4.26192966260004e-05
0.311875389590234,18,18,438.052158826,4.22621238093958e-05
0.311676937875055,18,18,462.230523093,4.21728306052446e-05
0.311631224796748,18,18,489.991039193,4.21505073042068e-05
0.311622641956534,18,18,516.815318856,4.21449264789474e-05
0.311622992227383,18,18,543.245616666,4.21435312726325e-05
0.311622162767444,18,18,568.840753092,4.21431824710538e-05
0.311621934280013,18,18,596.405590369,4.21430952706591e-05
0.311621845278291,18,18,0,4.21430734705604e-05
