Objective_3000,RankIn_3000,RankOut_3000,Times_3000,Lambdas_3000
161003.099753393,25,6,0.493263139,166.600179564573
34569.2886537417,25,5,0.88456822,53.3120574606632
9604.08514187225,6,5,1.199158577,17.0598583874122
2923.95664742595,5,5,1.493484232,5.45915468397192
920.301984477227,5,5,1.780512434,1.74692949887101
292.8829190168,5,5,2.0653094,0.559017439638724
93.5166857204881,5,5,2.351680054,0.178885580684392
29.8640109071073,5,5,2.637886514,0.0572433858190054
9.50996387690947,5,5,2.924586238,0.0183178834620817
2.99819280037326,5,5,3.215151045,0.00586172270786615
0.914583462226414,5,5,3.502071506,0.00187575126651717
0.247845090817526,5,5,3.790576712,0.000600240405285494
0.0344906828837159,5,5,4.085401968,0.000192076929691358
-0.033782460326271,5,5,4.373804906,6.14646175012346e-05
-0.0556297935141882,5,5,4.661262128,1.96686776003951e-05
-0.0626208970993712,5,5,4.953590942,6.29397683212642e-06
-0.0648580133035628,5,5,5.243868128,2.01407258628045e-06
-0.0655738551729294,5,5,5.530798799,6.44503227609745e-07
-0.0658028897056743,5,5,5.817230508,2.06241032835118e-07
-0.0658761460516238,5,5,6.109177201,6.59971305072379e-08
-0.0658995533940574,5,5,6.395364651,2.11190817623161e-08
-0.0659070090807769,5,5,6.681074285,6.75810616394116e-09
-0.0659093602109377,5,5,6.966585366,2.16259397246117e-09
-0.06591007789467,5,5,0,6.92030071187575e-10
