RMSE_relative_collect1,RMSE_relative_gaussian,RMSE_relative_collect2,RMSE_relative_poisson,RMSE_relative_collect3,RMSE_relative_bernoulli
0.783258613297527,0.917033980058082,0.772105366658156,0.879704153552784,0.773809666580699,0.837819490014217
0.784189404405371,0.916867480079818,0.769965403334825,0.881053588591719,0.778408123580324,0.837572668622941
0.767697264896693,0.916764666126512,0.774573203509741,0.881576518224809,0.772471061706984,0.836973872325755
0.783303695471458,0.916384878287016,0.772560898110355,0.880839243201296,0.775359046592086,0.837073497105694
0.781997551801053,0.918115823346372,0.771281247191798,0.881260201959061,0.771792427572412,0.837230922641186
0.782467665496509,0.919999644091475,0.771385178427408,0.881508532374815,0.777259215387902,0.837831390965451
0.782753634178603,0.917191292989044,0.76901852165729,0.880299985475925,0.776098084782994,0.83747211675433
0.776870952791934,0.919227669971086,0.770533663839343,0.880720874427839,0.77168021773432,0.836947888369932
0.780413163402675,0.918998739418109,0.770314937884833,0.879152150419205,0.776350886791951,0.838252621434601
0.782946503241345,0.917326292379252,0.772471049282941,0.880653791001985,0.775705934700631,0.838430284333989
